日期,股票代码,名称,涨跌幅
2021/6/21,'000001,上证指数,0.1159
2021/6/18,'000001,上证指数,-0.0144
2021/6/17,'000001,上证指数,0.2068
2021/6/16,'000001,上证指数,-1.0749
2021/6/15,'000001,上证指数,-0.9246
2021/6/11,'000001,上证指数,-0.5847
2021/6/10,'000001,上证指数,0.5419
2021/6/9,'000001,上证指数,0.3154
2021/6/8,'000001,上证指数,-0.5399
2021/6/7,'000001,上证指数,0.2143
2021/6/4,'000001,上证指数,0.213
2021/6/3,'000001,上证指数,-0.3593
2021/6/2,'000001,上证指数,-0.7608
2021/6/1,'000001,上证指数,0.2555
2021/5/31,'000001,上证指数,0.408
2021/5/28,'000001,上证指数,-0.2235
2021/5/27,'000001,上证指数,0.4312
2021/5/26,'000001,上证指数,0.3355
2021/5/25,'000001,上证指数,2.4036
2021/5/24,'000001,上证指数,0.3076
2021/5/21,'000001,上证指数,-0.5813
2021/5/20,'000001,上证指数,-0.1145
2021/5/19,'000001,上证指数,-0.5115
2021/5/18,'000001,上证指数,0.324
2021/5/17,'000001,上证指数,0.7804
2021/5/14,'000001,上证指数,1.774
2021/5/13,'000001,上证指数,-0.9592
2021/5/12,'000001,上证指数,0.6074
2021/5/11,'000001,上证指数,0.4042
2021/5/10,'000001,上证指数,0.2667
2021/5/7,'000001,上证指数,-0.6512
2021/5/6,'000001,上证指数,-0.1617
2021/4/30,'000001,上证指数,-0.8071
2021/4/29,'000001,上证指数,0.5158
2021/4/28,'000001,上证指数,0.4199
2021/4/27,'000001,上证指数,0.042
2021/4/26,'000001,上证指数,-0.9499
2021/4/23,'000001,上证指数,0.2612
2021/4/22,'000001,上证指数,-0.2251
2021/4/21,'000001,上证指数,-0.0004
2021/4/20,'000001,上证指数,-0.1324
2021/4/19,'000001,上证指数,1.4863
2021/4/16,'000001,上证指数,0.8129
2021/4/15,'000001,上证指数,-0.519
2021/4/14,'000001,上证指数,0.5962
2021/4/13,'000001,上证指数,-0.4828
2021/4/12,'000001,上证指数,-1.0934
2021/4/9,'000001,上证指数,-0.9154
2021/4/8,'000001,上证指数,0.0842
2021/4/7,'000001,上证指数,-0.0959
2021/4/6,'000001,上证指数,-0.0409
2021/4/2,'000001,上证指数,0.521
2021/4/1,'000001,上证指数,0.7095
2021/3/31,'000001,上证指数,-0.4271
2021/3/30,'000001,上证指数,0.6224
